RequestBodyExpected,RequestTime,RequestBody,RequestHeader,RequestMethod,RequestApi,ResponseBody,ResponseHeader,ResponseProto,ResponseStatusCode,ResponseStatus,ResponseContentLength,ResponseTransferEncoding
None,0.0009993s,Username: AikoYanye ;,Content-Type: application/x-www-form-urlencoded ;,POST,http://127.0.0.1:8081/test,msg: success ;,"Date: [Sat, 07 Sep 2019 03:33:33 GMT] ;Content-Length: [18] ;Content-Type: [application/json; charset=utf-8] ;",HTTP/1.1,È,200 OK,,
None,0.0010004s,Username: AikoYanye ;,Content-Type: application/x-www-form-urlencoded ;,POST,http://127.0.0.1:8081/test,msg: success ;,"Content-Type: [application/json; charset=utf-8] ;Date: [Sat, 07 Sep 2019 03:33:33 GMT] ;Content-Length: [18] ;",HTTP/1.1,È,200 OK,,
